"rollout_step","mse","best_epoch"
"1","0.001534031750128159","55"
"2","0.002148775051118455","55"
"3","0.002797992498802858","55"
"4","0.0035243151773550157","55"
"5","0.004174835884444199","55"
"6","0.004775145819977573","55"
"7","0.005290577726006724","55"
"8","0.0057882805462872635","55"
"9","0.006285973447982384","55"
"10","0.006775392407713377","55"
"11","0.007153424369576185","55"
"12","0.0075845157896317","55"
"13","0.008056628836345845","55"
"14","0.008539719119721997","55"
"15","0.009238856396489385","55"
"16","0.01005763391410743","55"
"17","0.011035557508306659","55"
"18","0.012815324211007227","55"
"19","0.016151964945880615","55"
"20","0.022169479094715654","55"
"21","0.030599595059681198","55"
"22","0.04150074636428684","55"
"23","0.05529758818042667","55"
"24","0.07461232133209705","55"
"25","0.09745619552668885","55"
"26","0.12279537002002631","55"
"27","0.14210454187207464","55"
"28","0.1502860460281912","55"
"29","0.169074214828889","55"
"30","0.14381082219247152","55"
"31","0.13902925296241175","55"
"32","0.14810853244979744","55"
"33","0.17057595980232176","55"
"34","0.18262938787161873","55"
"35","0.20724175969084752","55"
"36","0.23480293791255225","55"
"37","0.24536116082977125","55"
"38","0.23913078189058148","55"
"39","0.2306404353801053","55"
"40","0.20622434649967414","55"
"41","0.22620150550147114","55"
"42","0.24919407632525847","55"
"43","0.27206900915927323","55"
"44","0.3099215171232388","55"
"45","0.3642057231128","55"
"46","0.42287324598275017","55"
"47","0.49313318605359263","55"
"48","0.5893834773545572","55"
"49","0.71182612584013","55"
"50","0.8178364493290259","55"
